text
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: velocity, Word2: speed
### Response: True"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: Pressure, Word2: pressure
### Response: True"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: molecule, Word2: molecules
### Response: True"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: math function, Word2: math formulae
### Response: True"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: photosynthesis, Word2: plant energy conversion
### Response: True"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: neuron, Word2: planet
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: gravity, Word2: voltage
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: robotic, Word2: not robotic
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: molecular, Word2: atomic
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: dark blue, Word2: light blue
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: happy, Word2: joyful
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: sadness, Word2: sorrow
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: dog, Word2: canine
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: cat, Word2: feline
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: tree, Word2: plant
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: ocean, Word2: sea
### Response: False"
"### Instruction: Determine if the 2 words are semantically similar. Provide 'True' or 'False'.
### Input: Word1: sun, Word2: star
### Response: False"
